case,repetition,condition,elapsed_ms,request_bytes,response_bytes
en-md-10,9,direct,0.6791659999998956,0,0
en-md-10,10,direct,0.6777079999992566,0,0
en-md-10,10,mcp,0.7947079999994457,205,1719
en-md-10,11,mcp,0.859334000000672,205,1720
en-md-10,11,direct,0.6540829999994457,0,0
en-md-10,12,direct,0.652749999999287,0,0
en-md-10,12,mcp,0.7869169999994483,205,1720
en-md-10,13,mcp,0.7487920000003214,205,1720
en-md-10,13,direct,0.7132500000006985,0,0
en-md-10,14,direct,0.6795409999995172,0,0
en-md-10,14,mcp,0.8325410000015836,205,1719
en-md-10,15,mcp,0.8296250000003056,205,1720
en-md-10,15,direct,0.6607919999987644,0,0
en-md-10,16,direct,0.7439999999987776,0,0
en-md-10,16,mcp,0.789375000000291,205,1720
en-md-10,17,mcp,0.747957999999926,205,1720
en-md-10,17,direct,0.6512090000014723,0,0
en-md-10,18,direct,0.6401249999998981,0,0
en-md-10,18,mcp,0.7800829999996495,205,1720
en-md-10,19,mcp,0.828125,205,1720
en-md-10,19,direct,0.6497500000004948,0,0
en-xlsx-10,0,direct,2.6629159999993135,0,0
en-xlsx-10,0,mcp,3.5555420000000595,206,1721
en-xlsx-10,1,mcp,3.3019160000003467,206,1721
en-xlsx-10,1,direct,2.6560840000001917,0,0
en-xlsx-10,2,direct,2.5987500000010186,0,0
en-xlsx-10,2,mcp,3.492000000000189,207,1722
en-xlsx-10,3,mcp,3.1230000000014115,207,1722
en-xlsx-10,3,direct,2.382292000000234,0,0
en-xlsx-10,4,direct,2.2191249999996217,0,0
en-xlsx-10,4,mcp,3.518292000000656,207,1722
en-xlsx-10,5,mcp,3.5443750000013097,207,1721
en-xlsx-10,5,direct,2.58404100000007,0,0
en-xlsx-10,6,direct,2.3632500000003347,0,0
en-xlsx-10,6,mcp,2.9170000000012806,207,1722
en-xlsx-10,7,mcp,2.8494170000012673,207,1721
en-xlsx-10,7,direct,2.55304199999955,0,0
en-xlsx-10,8,direct,2.3459170000005543,0,0
en-xlsx-10,8,mcp,3.233125000000655,207,1722
en-xlsx-10,9,mcp,2.7190840000002936,207,1722
en-xlsx-10,9,direct,2.4538330000013957,0,0
en-xlsx-10,10,direct,2.28112499999952,0,0
en-xlsx-10,10,mcp,2.9907919999986916,207,1722
en-xlsx-10,11,mcp,2.981667000000016,207,1722
en-xlsx-10,11,direct,2.6509580000001733,0,0
en-xlsx-10,12,direct,2.35425000000032,0,0
en-xlsx-10,12,mcp,2.7910420000007434,207,1722
en-xlsx-10,13,mcp,2.617333999998664,207,1722
en-xlsx-10,13,direct,2.5279999999984284,0,0
en-xlsx-10,14,direct,2.4520840000004682,0,0
en-xlsx-10,14,mcp,2.972708999999668,207,1722
en-xlsx-10,15,mcp,2.759208999999828,207,1722
en-xlsx-10,15,direct,2.4470409999994445,0,0
en-xlsx-10,16,direct,2.159417000000758,0,0
en-xlsx-10,16,mcp,2.967333000000508,207,1722
en-xlsx-10,17,mcp,3.3199579999982234,207,1722
en-xlsx-10,17,direct,2.659250000000611,0,0
en-xlsx-10,18,direct,2.134875000001557,0,0
en-xlsx-10,18,mcp,3.0087920000005397,207,1722
en-xlsx-10,19,mcp,2.627875000000131,207,1722
en-xlsx-10,19,direct,2.3508340000007593,0,0
en-md-100,0,direct,5.999041999999463,0,0
en-md-100,0,mcp,6.703125,205,2129
en-md-100,1,mcp,6.570458000000144,205,2130
en-md-100,1,direct,6.3819579999999405,0,0
en-md-100,2,direct,6.550792000000001,0,0
en-md-100,2,mcp,8.383125000000291,206,2130
en-md-100,3,mcp,7.15154099999927,206,2130
en-md-100,3,direct,5.92816700000003,0,0
en-md-100,4,direct,6.2662080000009155,0,0
en-md-100,4,mcp,6.427208999999493,206,2131
en-md-100,5,mcp,6.477000000000771,206,2131
en-md-100,5,direct,5.88524999999936,0,0
en-md-100,6,direct,5.785124999998516,0,0
en-md-100,6,mcp,6.629000000000815,206,2131
en-md-100,7,mcp,6.104291999999987,206,2131
en-md-100,7,direct,5.809708000000683,0,0
en-md-100,8,direct,6.025541999999405,0,0
en-md-100,8,mcp,6.459666999999172,206,2131
en-md-100,9,mcp,6.161333999998533,206,2131
en-md-100,9,direct,6.034333999999944,0,0
en-md-100,10,direct,5.908666999999696,0,0
en-md-100,10,mcp,6.379167000000962,206,2131
en-md-100,11,mcp,6.486875000000509,206,2131
en-md-100,11,direct,5.787624999999025,0,0
en-md-100,12,direct,5.813791000000492,0,0
en-md-100,12,mcp,6.5037910000010015,206,2131
en-md-100,13,mcp,6.225000000000364,206,2131
en-md-100,13,direct,5.964249999999083,0,0
en-md-100,14,direct,5.754292000001442,0,0
en-md-100,14,mcp,7.050832999999329,206,2131
en-md-100,15,mcp,6.618583999999828,206,2131
en-md-100,15,direct,5.85308299999997,0,0
en-md-100,16,direct,5.925208999999086,0,0
en-md-100,16,mcp,6.43645800000013,206,2131
en-md-100,17,mcp,6.182332999998835,206,2131
en-md-100,17,direct,6.026291000000128,0,0
en-md-100,18,direct,5.83862500000032,0,0
en-md-100,18,mcp,6.261415999999372,206,2131
en-md-100,19,mcp,6.307749999999942,206,2131
en-md-100,19,direct,5.97320899999977,0,0
en-xlsx-100,0,direct,7.640874999999141,0,0
en-xlsx-100,0,mcp,9.993792000001122,207,2132
en-xlsx-100,1,mcp,9.802416999998968,207,2132
en-xlsx-100,1,direct,7.721790999999939,0,0
en-xlsx-100,2,direct,7.546415999999226,0,0
en-xlsx-100,2,mcp,9.595041999999012,208,2133
en-xlsx-100,3,mcp,9.146624999999403,208,2133
en-xlsx-100,3,direct,7.992416000000958,0,0
en-xlsx-100,4,direct,6.946125000000393,0,0
en-xlsx-100,4,mcp,8.984375,208,2133
en-xlsx-100,5,mcp,8.628082999999606,208,2133
en-xlsx-100,5,direct,7.907833999999639,0,0
en-xlsx-100,6,direct,7.090625000000728,0,0
en-xlsx-100,6,mcp,8.7393749999992,208,2133
en-xlsx-100,7,mcp,8.427458000000115,208,2133
en-xlsx-100,7,direct,7.989999999999782,0,0
en-xlsx-100,8,direct,7.160707999999431,0,0
en-xlsx-100,8,mcp,8.55237500000112,208,2133
en-xlsx-100,9,mcp,11.522874999998749,208,2133
en-xlsx-100,9,direct,7.73016699999971,0,0
en-xlsx-100,10,direct,7.100915999999415,0,0
en-xlsx-100,10,mcp,10.6356250000008,208,2133
en-xlsx-100,11,mcp,8.711083000000144,208,2133
en-xlsx-100,11,direct,7.511625000001004,0,0
en-xlsx-100,12,direct,7.101042000000234,0,0
en-xlsx-100,12,mcp,9.69604099999924,208,2133
en-xlsx-100,13,mcp,8.528167000000394,208,2133
en-xlsx-100,13,direct,7.758292000000438,0,0
en-xlsx-100,14,direct,7.219417000000249,0,0
en-xlsx-100,14,mcp,8.778667000000496,208,2133
en-xlsx-100,15,mcp,8.163375000000087,208,2133
en-xlsx-100,15,direct,7.47833399999945,0,0
en-xlsx-100,16,direct,7.03741699999955,0,0
en-xlsx-100,16,mcp,8.875957999998718,208,2133
en-xlsx-100,17,mcp,8.567625000001499,208,2133
en-xlsx-100,17,direct,7.44733400000041,0,0
en-xlsx-100,18,direct,7.4085420000010345,0,0
en-xlsx-100,18,mcp,8.489999999999782,208,2133
en-xlsx-100,19,mcp,8.317999999999302,208,2133
en-xlsx-100,19,direct,7.471332999999504,0,0
en-md-1000,0,direct,57.018332999999984,0,0
en-md-1000,0,mcp,59.835291999999754,206,2140
en-md-1000,1,mcp,66.50466600000073,206,2141
en-md-1000,1,direct,56.33266700000058,0,0
en-md-1000,2,direct,55.453208000000814,0,0
en-md-1000,2,mcp,58.5094169999993,207,2142
en-md-1000,3,mcp,58.20862500000112,207,2142
en-md-1000,3,direct,61.12145899999996,0,0
en-md-1000,4,direct,66.54116600000089,0,0
en-md-1000,4,mcp,60.33412500000122,207,2142
en-md-1000,5,mcp,60.48241700000108,207,2142
en-md-1000,5,direct,59.12604100000135,0,0
en-md-1000,6,direct,58.765292000000045,0,0
en-md-1000,6,mcp,63.09562499999993,207,2142
en-md-1000,7,mcp,62.204916999999114,207,2142
en-md-1000,7,direct,63.63566600000013,0,0
en-md-1000,8,direct,65.44466700000157,0,0
en-md-1000,8,mcp,62.60683300000164,207,2142
en-md-1000,9,mcp,66.09420800000044,207,2142
en-md-1000,9,direct,60.71379200000047,0,0
en-md-1000,10,direct,59.991415999998935,0,0
en-md-1000,10,mcp,61.71845899999971,207,2141
en-md-1000,11,mcp,60.14149999999972,207,2142
en-md-1000,11,direct,60.044832999999926,0,0
en-md-1000,12,direct,60.31775000000016,0,0
en-md-1000,12,mcp,61.57641599999988,207,2142
en-md-1000,13,mcp,61.566749999999956,207,2142
en-md-1000,13,direct,60.451750000000175,0,0
en-md-1000,14,direct,60.476167000000714,0,0
en-md-1000,14,mcp,62.119292000001224,207,2142
en-md-1000,15,mcp,63.02066599999853,207,2142
en-md-1000,15,direct,65.46266699999978,0,0
en-md-1000,16,direct,63.09637499999917,0,0
en-md-1000,16,mcp,62.444124999999985,207,2142
en-md-1000,17,mcp,62.07141600000068,207,2142
en-md-1000,17,direct,61.35858300000109,0,0
en-md-1000,18,direct,60.086999999999534,0,0
en-md-1000,18,mcp,63.7661250000001,207,2142
en-md-1000,19,mcp,62.25529199999983,207,2142
en-md-1000,19,direct,60.293792000000394,0,0
en-xlsx-1000,0,direct,85.19412499999999,0,0
en-xlsx-1000,0,mcp,91.38204199999927,208,2143
en-xlsx-1000,1,mcp,97.13891700000022,208,2142
en-xlsx-1000,1,direct,80.99904199999946,0,0
en-xlsx-1000,2,direct,84.38395899999887,0,0
en-xlsx-1000,2,mcp,90.95820899999853,209,2144
en-xlsx-1000,3,mcp,96.67591600000014,209,2144
en-xlsx-1000,3,direct,74.7450000000008,0,0
en-xlsx-1000,4,direct,72.81637500000033,0,0
en-xlsx-1000,4,mcp,82.47787499999868,209,2144
en-xlsx-1000,5,mcp,81.2254580000008,209,2144
en-xlsx-1000,5,direct,76.14504199999828,0,0
en-xlsx-1000,6,direct,74.11904199999844,0,0
en-xlsx-1000,6,mcp,85.26166700000067,209,2144
en-xlsx-1000,7,mcp,87.57933299999968,209,2144
en-xlsx-1000,7,direct,78.89641600000141,0,0
en-xlsx-1000,8,direct,78.41474999999991,0,0
en-xlsx-1000,8,mcp,90.007834,209,2143
en-xlsx-1000,9,mcp,101.65208299999904,209,2144
en-xlsx-1000,9,direct,81.26116700000057,0,0
en-xlsx-1000,10,direct,80.49833299999955,0,0
en-xlsx-1000,10,mcp,90.75025000000096,209,2144
en-xlsx-1000,11,mcp,91.75595799999974,209,2144
en-xlsx-1000,11,direct,109.29425000000083,0,0
en-xlsx-1000,12,direct,81.26375000000189,0,0
en-xlsx-1000,12,mcp,82.71574999999939,209,2143
en-xlsx-1000,13,mcp,81.69012500000099,209,2144
en-xlsx-1000,13,direct,84.3013749999991,0,0
en-xlsx-1000,14,direct,87.8011660000011,0,0
en-xlsx-1000,14,mcp,96.21558300000106,209,2144
en-xlsx-1000,15,mcp,86.31808300000193,209,2144
en-xlsx-1000,15,direct,85.85087500000009,0,0
en-xlsx-1000,16,direct,81.22812500000146,0,0
en-xlsx-1000,16,mcp,88.06345800000054,209,2144
en-xlsx-1000,17,mcp,92.99795799999993,209,2144
en-xlsx-1000,17,direct,85.07429199999751,0,0
en-xlsx-1000,18,direct,80.2957920000008,0,0
en-xlsx-1000,18,mcp,86.58525000000009,209,2144
en-xlsx-1000,19,mcp,84.20387500000288,209,2143
en-xlsx-1000,19,direct,84.58270800000173,0,0
